Pr,UL,UG,AlfaL,AlfaG,Temperatura,ρL,ρG
1.3241295544362557e6,3.0342468,2.986616,0.49716187999999994,0.50283812,60.0,988.1849397162321,822.89176362612
1.3241295544362557e6,3.1703837396821015,3.085067802301559,0.4956903729605797,0.5043096270394203,59.93161762169991,960.326044949783,776.1568816906364
1.3665144114564555e6,3.307115286259156,3.1842553102005047,0.501830586749567,0.49816941325043296,59.36549048546949,958.983856045555,773.9229198712511
1.4216501803242536e6,3.3084203955367557,3.218796852526343,0.5080704218724577,0.49192957812754234,58.25359167303925,961.5826995355557,778.1939204642349
1.4769628535689693e6,3.2890607734016393,3.270532366293731,0.5105668284885703,0.48943317151142973,56.75601871228152,966.5193711894018,786.3607677296495
1.5287461123825966e6,3.2563752780893114,3.3441938061923575,0.5088362922832218,0.4911637077167782,55.14541741842188,972.0614569412326,795.5852536894216
1.5758913012633792e6,3.2267013983334367,3.420583813807453,0.5053561794542184,0.4946438205457816,53.71639276991112,976.9780598913486,803.8139391595741
1.6202480140922377e6,3.206654708806085,3.4825657345003567,0.5022488254296822,0.4977511745703178,52.64515484680071,980.6144297211913,809.9234805010353
1.6644200083430745e6,3.195804832519579,3.5260683852915538,0.500225459108338,0.49977454089166196,51.94203733053027,982.9328244632148,813.8238975577302
1.7099334459600234e6,3.191235789767401,3.554994925945799,0.49912895471398167,0.5008710452860183,51.51705657821384,984.2583341256532,816.0491849868364
1.757042236011585e6,3.190161915706168,3.574771631645037,0.498592049077876,0.501407950922124,51.263359479868726,984.9758890729477,817.245126648982
1.8053551906999815e6,3.190765612655438,3.5894846432847145,0.4983322195436173,0.5016677804563827,51.100575369104014,985.3730380317904,817.8975444009777
1.8543879710596947e6,3.192096242443892,3.601527669566241,0.49819288893934144,0.5018071110606586,50.980907955468304,985.6181038097387,818.2917103269408
1.9037861118606166e6,3.1937316002960197,3.612108194996437,0.4981020944841002,0.5018979055158999,50.87966298354548,985.7949146866854,818.5699156424893
1.9532001439770905e6,3.195522328926403,3.6218003983104925,0.49803049729830173,0.5019695027016983,50.784732291294745,985.9410728253013,818.7961063968778
2.0e6,3.197639054668344,3.63112780889092,0.49803049729830173,0.5019695027016983,50.75035525001605,986.1177527310633,819.0753190801728
